번호,품목명,구분,질문,답변
553, 소파, 품질_제조과정 또는 인도 시 하자 발생,"소파를 구입한 후 청소를 하다가 뒤편 보이지 않는 부분에서 흠집을 발견하여 교환을 요구하였으나, 사업자는 흠집 원인을 알 수 없어 수리만 가능하다고 주장합니다. 구제 방법이 있나요?","제품 흠집 발생의 원인과 일자가 확인이 되어 구입일로부터 15일 이내이거나, 구입일과 관계없이 소비자가 흠집이 제조상 결함 또는 배송 시 발생한 하자임을 입증한 경우에는 제품교환을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 제조 과정이나 신제품을 인도하면서 생긴 흠집의 경우 구입일로부터 15일 이내에는 제품을 교환을 요구할 수 있도록 규정하고 있습니다.   단, 소비자가 제조 및 신제품 인도 시 생긴 흠집임을 입증하는 경우는 제외합니다.   따라서, 제품 흠집 발생의 원인과 일자가 확인이 되어 구입일로부터 15일 이내이거나, 구입일과 관계없이 소비자가 흠집이 제조상 결함 또는 배송 시 발생한 하자임을 입증한 경우에는 제품교환을 요구할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
554, 소파, 품질_색상 차이,가구매장에서 3인 소파 세트를 구입하였으나 사용하던 중 서로 색상이 다르다는 것을 알게되어 교환을 요구하였으나 사업자는 약간의 색상 차이는 있을 수 있다는 거부합니다. 구제 방법이 있나요?,"1개월 이내 제품교환을 요구할 수 있으며, 동일한 색상이 없는 경우 구입가 환급을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 세트단위 가구의 색상차이는 구입일로부터 1개월 이내 제품교환이 가능합니다.   따라서, 1개월 이내 3인 소파 세트 색상이 다른 사실을 알게된 경우 제품교환을 요구할 수 있습니다.   다만, 동일한 색상이 없는 경우 구입가 환급을 요구할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
555, 소파, 품질_도장불량_10일 이내,소파를 구입하고 8일 후에 소파 프레임 팔걸이 부분에서 변색현상이 발생하여 환급을 요구하였으나 사업자는 품질하자를 인정하면서도 제품 교환만 가능하다고 주장합니다. 구제 방법이 있나요?,"사업자에게 제품교환 또는 구입가 환급을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 소파 백화현상 및 도장불량의 경우 구입 시점에 따라 소비자가 요구할 수 있는 사항을 규정하고 있습니다    - 구입일로부터 10일 이내: 제품교환 또는 구입가 환급    - 구입일로부터 6개월 이내: 제품교환    - 구입일로부터 3년 이내: 무상수리 또는 부품교환    - 수리 후 동일하자 발생: 제품교환   따라서, 구입일로부터 10일 이내 소파 도장불량이 확인된 경우에는 제품교환 또는 구입가 환급을 요구할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
556, 소파, 품질_도장불량_6개월 이내,소파를 구입하고 5개월 후에 소파 프레임 팔걸이 부분에서 변색현상이 발생하여 교환을 요구하였으나 사업자는 품질하자를 인정하면서도 무상 수리만 가능하다고 주장합니다. 구제 방법이 있나요?,"사업자에게 제품교환을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 소파 백화현상 및 도장불량의 경우 구입 시점에 따라 소비자가 요구할 수 있는 사항을 규정하고 있습니다    - 구입일로부터 10일 이내: 제품교환 또는 구입가 환급    - 구입일로부터 6개월 이내: 제품교환    - 구입일로부터 3년 이내: 무상수리 또는 부품교환    - 수리 후 동일하자 발생: 제품교환   따라서, 구입일로부터 6개월 이내 소파 도장불량이 확인된 경우에는 제품교환을 요구할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
557, 소파, 품질_도장불량_3년 이내,소파를 구입하고 2년 후에 소파 프레임 팔걸이 부분에서 변색현상이 발생하여 수리를 요구하였으나 사업자는 품질하자를 인정하면서도 수리를 거부합니다. 구제 방법이 있나요?,"사업자에게 무상수리 또는 부품교환을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 소파 백화현상 및 도장불량의 경우 구입 시점에 따라 소비자가 요구할 수 있는 사항을 규정하고 있습니다    - 구입일로부터 10일 이내: 제품교환 또는 구입가 환급    - 구입일로부터 6개월 이내: 제품교환    - 구입일로부터 3년 이내: 무상수리 또는 부품교환    - 수리 후 동일하자 발생: 제품교환   따라서, 구입일로부터 3년 이내 소파 도장불량이 확인된 경우에는 무상수리 또는 부품교환을 요구할 수 있습니다.    만약 소비자가 사업자에게 무상수리를 의뢰한 경우에는 지체없이 하되, 수리가 지체되는 불가피한 사유가 있을 때는 소비자에게 알려야 합니다. 소비자가 수리를 의뢰한 날부터 1개월이 지난 후에도 사업자가 수리된 물품등을 소비자에게 인도하지 못할 경우 제품교환, 환급 등의 조치를 취해야합니다."
558, 소파, 품질_벌레 발생_10일 이내,소파를 구입하고 8일 후에 소파 프레임과 방석부분에서 벌레가 발생하여 환급을 요구하였으나 사업자는 벌레가 발생한 사실을 인정하면서도 교환만 가능하다고 주장합니다. 구제 방법이 있나요?,"사업자에게 제품교환 또는 구입가 환급을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 소파에 좀 등 벌레가 발생한 경우 구입 시점에 따라 소비자가 요구할 수 있는 사항을 규정하고 있습니다    - 구입일로부터 10일 이내: 제품교환 또는 구입가 환급    - 구입일로부터 2년 이내: 무상수리 또는 부품교환    - 부품교환 후 하자 재발생: 제품교환   따라서, 구입일로부터 10일 이내 좀 등 벌레 발생이 확인된 경우에는 제품교환 또는 구입가 환급을 요구할 수 있습니다.    다만, 소파를 수립, 설치한 이후 설치 장소의 환경적 요인에 의해서도 벌레가 발생할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
559, 소파, 품질_벌레 발생_2년 이내,"소파를 구입하고 1년 6개월 후에 소파 프레임과 방석부분에서 벌레가 발생하여 보상을 요구하였으나, 벌레가 발생한 사실을 인정하면서도 품질보증기간 1년이 경과되어 보상을 할 수 없다고 주장합니다. 구제 방법이 있나요?","사업자에게 무상수리 또는 부품교환을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 소파에 좀 등 벌레가 발생한 경우 구입 시점에 따라 소비자가 요구할 수 있는 사항을 규정하고 있습니다    - 구입일로부터 10일 이내: 제품교환 또는 구입가 환급    - 구입일로부터 2년 이내: 무상수리 또는 부품교환    - 부품교환 후 하자 재발생: 제품교환   따라서, 구입일로부터 2년 이내 좀 등 벌레 발생이 확인된 경우에는 무상수리 또는 부품교환을 요구할 수 있습니다.   다만, 소파를 수립, 설치한 이후 설치 장소의 환경적 요인에 의해서도 벌레가 발생할 수 있습니다.   만약 소비자가 사업자에게 무상수리를 의뢰한 경우에는 지체없이 하되, 수리가 지체되는 불가피한 사유가 있을 때는 소비자에게 알려야 합니다. 소비자가 수리를 의뢰한 날부터 1개월이 지난 후에도 사업자가 수리된 물품등을 소비자에게 인도하지 못할 경우 제품교환, 환급 등의 조치를 취해야합니다."
560, 소파, 품질_악취 발생,소파를 구입하고 5개월 후에 소파에서 코끝을 찌르는 시큼한 냄새가 나면서 눈이 따끔하고 두통 증세가 발생하였습니다. 냄새 제거제를 뿌리고 환기를 하였음에도 냄새가 제거되지 않아 반품을 요구하였으나 사업자가 거부합니다. 구제 방법이 있나요?,"사업자에게 제품교환 또는 구입가 환급을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 악취 등 자극성냄새(화학제품 등)가 발생한 경우 구입일로부터 6개월 이내에 제품교환 또는 구입가 환급이 가능합니다.   따라서, 구입한지 6개월이 되지 않은 상황에서 소파 제작 불량에 의해 냄새가 심하게 발생하고 제거가 되지 않으므로 사업자에게 제품교환 또는 구입가 환급을 요구할 수 있습니다.    다만, 소파 등 가구는 제품의 특성상 제작 과정에서 사용된 접착제와 도료성분 등에 의해 자극성 냄새가 발생할 수 있습니다.   만약 소비자가 제품교환을 요구하는 경우에는 같은 종류의 물품등으로 교환하되, 같은 종류의 물품등으로 교환하는 것이 불가능한 경우에는 같은 종류의 유사물품등으로 교환을 요구할 수 있습니다. 다만, 같은 종류의 물품등으로 교환하는 것이 불가능하고 소비자가 같은 종류의 유사물품등으로 교환하는 것을 원하지 않을 경우에는 환급을 요구할 수 있습니다."
561, 소파, 표시·광고_품질의심,"가구매장에서 유명 메이커 소파를 구입하고 배송을 받았으나 전시된 소파와 다른 제품인 것 같고, 유명 메이커 소파임을 입증하는 표시가 하나도 없습니다. 구제 방법이 있나요?","사업자에게 구입가 환급을 요구할 수 있습니다.   가구 관련 「소비자분쟁해결기준」에 따르면 가구점에서 상표남용 등 유사제품을 판매하는 경우에는 소비자는 구입가를 환급받을 수 있도록 규정하고 있습니다.   따라서, 유명 메이커 대리점 간판을 단 가구판매점에서 비메이커 제품을 유명 메이커 제품으로 속여 판매하는 경우에 이를 모르고 구입한 소비자는 구입가 환급을 요구할 수 있습니다.   소비자는 유명 메이커 대리점에서 가구를 구입하는 경우에도 무조건 유명 메이커에서 생산한 정품이라고 믿어서는 안되며 계약 시 제조업체, 모델명, 품질보증서 등을 잘 확인하고, 일단 물건을 인수하게 되면 반품이나 교환이 쉽지 않기 때문에 제품 수령 시 하자 유무와 더불어 주문한 가구 여부를 확인하여야 피해를 예방할 수 있습니다. 소비자는 가구 구입 시 반드시 어느 회사 제품인지를 확인하는 것은 물론 피해 예방을 위해 영수증(혹은 계약서)에 회사명, 모델명, 규격, 색상, 디자인 등을 구체적으로 명시하는 게 좋습니다."
562, 소파, 표시·광고_부당표시·광고,홈쇼핑에서 천연가죽 소파를 구입하여 사용하던 중 해당 가죽이 인조가죽임을 알게 되었습니다. 구제 방법이 있나요?,"사업자에게 반품 비용을 포함한 청약 철회를 요구할 수 있습니다.   홈쇼핑은 통신판매의 한 형태로써 「전자상거래 등에서의 소비자보호에 관한 법률」 적용 대상이며, 동법 제17조에 따르면 표시·광고와 다르거나 계약내용과 다르게 이행된 경우 재화 등을 공급받은 날로부터 3개월 이내, 그 사실을 안날 또는 알 수 있었던 날로부터 30일 이내에 청약철회를 사업자에게 요구할 수 있습니다.   이러한 소비자의 권리가 인정되려면 물품 관련 표시·광고의 내용이 누가 보아도 명백하게 허위이거나 과장된 점이 인정되어야 하는데, 「표시·광고의 공정화에 관한 법률」 제3조 및 「부당한 표시·광고행위의 유형 및 기준 지정 고시」에 의하면 실제 사용되지 않는 원자재나 성분이 포함된 것처럼 표시·광고하는 행위를 부당한 표시·광고로 규정하고 있습니다.   따라서 천연가죽이라고 표시·광고하였으나 실제 인조가죽일 경우에는 부당한 표시·광고로 보아 반품비용은 사업자 부담으로 하여 청약철회가 가능합니다.   또한, 「전자상거래 등에서의 소비자보호에 관한 법률」 제17조에서 정한 청약 철회기간이 경과되었더라도, 계약내용과 다르게 이행이 되었다면 사업자에게 민법상 채무불이행책임 및 손해보상책임 등을 물을 수 있을 것으로 판단됩니다."
563, 소파, 법·제도_전시제품 품질보증기간,가구매장에 전시된 소파를 구입한 후 수리를 요청하였으나 소파의 공장출고일부터 보증기간을 잡아 무상수리 기간이 끝났다는 답변을 받았습니다. 구제 방법이 있나요?,"제품을 구입하고 인도받은 날로부터 1년이 경과되지 않는 경우에는 사업자에게 무상수리를 요구할 수 있습니다.    「소비자기본법」 시행령 별표1 “일반적 소비자분쟁해결기준”에 따르면 품질보증기간은 소비자가 물품을 구입한 날 또는 용역을 제공받은 날부터 기산하며, 계약일과 인도일이 다를 경우 인도일을 기준으로 하고 교환받은 제품의 품질보증기간은 교환받은 날부터 기산합니다. 판매일자를 확인하기 곤란한 경우에는 제조일 또는 수입통관일부터 3개월이 경과한 날부터 품질보증기간을 기산합니다. 다만, 당해 물품에 제조일 또는 수입통관일이 표시되어 있지 않은 제품은 사업자가 그 판매일자를 입증해야 합니다.   따라서, 「소비자분쟁해결기준」 별표3 “품목별 품질보증기간 및 부품보유기간”에 따라 전시품임을 알고 구입한 제품의 품질보증기간은 별도의 특약이 없는 경우 1년으로 보며, 제품을 구입하고 인도받은 날로부터 1년이 경과되지 않은 경우에는 사업자에게 무상수리를 요구할 수 있습니다.   만약 소비자가 사업자에게 무상수리를 의뢰한 경우에는 지체없이 하되, 수리가 지체되는 불가피한 사유가 있을 때는 소비자에게 알려야 합니다. 소비자가 수리를 의뢰한 날부터 1개월이 지난 후에도 사업자가 수리된 물품등을 소비자에게 인도하지 못할 경우 제품교환, 환급 등의 조치를 취해야합니다."
564, 스마트폰, 청약철회_단순 변심,"전자상거래로 자급제 스마트폰을 구입하여 사용하던 중, 너무 느리고 사양이 낮아 판매자에게 반품을 요구하였으나 판매자는 이를 거부합니다. 청약철회가 가능한가요?","스마트폰의 성능에 문제가 있음을 객관적으로 입증하고, 스마트폰을 사용함으로 인해 제품의 가치가 현저하게 하락했다는 점을 판매자가 입증하지 못하는 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등) 제1항에 따르면 ‘소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있다’고 규정하고 있습니다.다만, ‘전자상거래법’ 제17조(청약철회 등) 제2항에 따르면 ‘내용물을 확인하기 위하여 포장 등을 단순 훼손한 경우에는 청약철회가 가능하나 물건을 개봉하여 일부 소비하거나 제품이 훼손되어 다시 판매하기 어려울 정도로 재화의 가치가 현저히 낮아진 경우에는 청약철회가 불가능’하다고 규정하고 있습니다.따라서, 스마트폰의 성능이 기대한 것에 미치지 못하더라도 정상적으로 작동하고 있으며, 스마트폰을 사용함으로 인해 제품의 가치가 현저하게 하락했다는 점에 대해 판매자가 입증한 경우에는 청약철회를 요구하기는 어려울 수 있습니다."
565, 스마트폰, 청약철회_단순 개봉,전자상거래로 자급제 스마트폰을 구입하여 박스에 부착된 스티커만 뜯고 스마트폰은 켜보지 않았음에도 판매자가 가치가 감소하여 재판매가 어렵다며 반품을 거부합니다. 청약철회가 가능한가요?,"스마트폰을 사용함으로 인해 제품의 가치가 현저하게 하락했다는 점을 판매자가 입증하지 못하는 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등) 제1항에 따르면 ‘소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있다’고 규정하고 있습니다.다만, ‘전자상거래법’ 제17조(청약철회 등) 제2항에 따르면 ‘내용물을 확인하기 위하여 포장 등을 단순 훼손한 경우에는 청약철회가 가능하나 물건을 개봉하여 일부 소비하거나 제품이 훼손되어 다시 판매하기 어려울 정도로 재화의 가치가 현저히 낮아진 경우에는 청약철회가 불가능’하다고 규정하고 있습니다.   따라서, 스마트폰의 경우 현실적으로 박스가 개봉된 제품을 판매하기 어려운 경우가 많으며, 이로 인해 재화 등의 가치가 현저히 하락했다는 점에 대해 판매자가 입증한 경우에는 청약철회를 요구하기는 어려울 수 있습니다."
566, 스마트폰, 청약철회_배송 지연,전자상거래로 스마트폰을 구입한 후 몇 주가 지나도 배송이 되지 않아 청약철회를 요구하였으나 판매자는 현재 배송 중이라며 이를 거부합니다. 청약철회가 가능한가요?,"사업자가 물품의 배송이 힘들다고 판단되었을 때 그에 따른 안내를 소비자에게 하여야 할 의무가 있음에도 불구하고 이를 고지하지 않은 채 청약철회를 거부한다면 소비자는 사업자에게 환급을 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제15조(재화 등의 공급 등)에 따르면 ‘사업자는 소비자가 청약을 한 날부터 7일 이내에 재화 등의 공급에 필요한 조치를 하여야 하고, 소비자가 재화 등의 대금을 전부 또는 일부를 지급한 날부터 3영업일 이내에 재화 등의 공급에 필요한 조치를 하여야 한다’고 규정하고 있습니다. 또한, ‘청약을 받은 재화 등급 공급하기 곤란하다는 것을 알았을 때에는 지체 없이 그 사유를 소비자에게 알려야 하고, 소비자가 그 대금의 전부 또는 일부를 지급한 날부터 3영업일 이내에 환급하거나 환급에 필요한 조치를 해야한다’고 규정하고 있습니다.   따라서, 사업자가 물품의 배송이 힘들다고 판단되었을 때 그에 따른 안내를 소비자에게 하여야 할 의무가 있음에도 불구하고 이를 고지하지 않고 배송중이라는 사유로 청약철회를 거부하고, 청약철회의 효과와 동일하게 대금의 환급이 이루어져야 함에도 이를 이행하지 않은 것으로 볼 수 있어 소비자는 사업자에게 환급을 요구할 수 있다고 판단됩니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
567, 스마트폰, 청약철회_제품 훼손을 이유로 청약철회 거부,"청약철회 의사를 밝히고 수령한 제품을 그대로 반송하였으나, 판매자는 반송된 제품의 포장이 개봉되었고 제품이 사용되었다며 청약철회가 불가하다고 주장합니다. 청약철회가 가능한가요?","판매자가 자신이 발송한 제품에 하자가 존재하지 않는다는 점을 입증하지 못하는 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등) 제2항에 따르면 ‘소비자의 책임 있는 사유로 재화 등이 멸실되거나 훼손된 경우, 소비자의 사용 또는 일부 소비로 인해 재화 등의 가치가 현저히 감소한 경우, 복제가 가능한 재화 등의 포장을 훼손한 경우는 청약철회를 할 수 없다’고 규정하고 있습니다.따라서, 재화 등의 훼손에 대한 소비자의 책임 여부에 대하여 다툼이 있는 경우에는 사업자가 이를 입증해야 하므로, 사업자가 자신이 발송한 제품에 하자가 존재하지 않는다는 점에 대한 입증을 하지 못하는 경우 청약철회를 요구할 수 있다고 판단됩니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
568, 스마트폰, 청약철회_7일 이내 반품 미완료,전자상거래로 스마트폰을 구입하고 단순 변심으로 반품을 요청하였으나 사업자가 7일 이내 제품이 도착하지 않았다는 이유로 청약철회 불가를 주장합니다. 청약철회가 가능한가요?,"“반품은 상품이 7일 이내 쇼핑몰에 도착해야만 환급 가능하다”고 규정한 약관이 소비자에게 불리한 계약으로 인정되어 무효화 될 경우 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회 등) 제1항에 따르면 ‘소비자가 전자상거래로 물건을 구입하였을 경우 7일 이내에 청약철회 할 수 있다’고 규정하고 있고, ‘전자상거래법’ 제35조(소비자에게 불리한 계약의 금지)에 따르면 ‘제17조 규정을 위반한 약정으로써 소비자에게 불리한 것은 효력이 없다’고 규정하고 있습니다.   따라서, 만약 사업자가 “반품은 상품이 7일 이내 쇼핑몰에 도착해야만 환급 가능하다”고 표시하였다고 하더라도 이는 ‘전자상거래법’ 제17조를 위반한 약정으로 소비자에게 불리한 것이므로 제35조에 따라 효력이 없다고 보며, 소비자가 제품을 수령한 날로부터 7일 이내 청약철회 의사표시를 하고 반품 절차를 진행했다면 설령 반품한 상품이 7일 이내 쇼핑몰에 도착하지 못했다 하더라도 청약철회 권리를 제한할 수는 없습니다.   ※ 통신판매업자에 대한 청약철회 의사표시 방법은 법률상 특별한 제한이 없으므로 전화, 서면, 전자문서 모두 가능합니다. 다만, 전화로 의사표시를 한 경우 간혹 판매자가 청약철회 요구를 받은 사실이 없다고 주장하는 경우가 있으므로, 쇼핑몰 게시판에 청약철회 의사를 표시하고 그 화면을 캡처하여 보관하거나 서면으로 발송하는 것이 좋습니다. 서면으로 발송한 경우에는 발송한 날에 그 효력이 발생합니다. 또한, 사업자에게 청약철회를 요청하였는데도 특별한 사유 없이 이를 거부할 경우, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따라 신용카드로 대금을 결제하였다면 신용카드사에 처리를 요구할 수 있으니 참고하시기 바랍니다."
569, 스마트폰, 청약철회_설명과 다른 제품,전자상거래로 스마트폰을 구입하고 7일이 경과한 후 전원을 켰는데 주문한 스펙과 다른 스펙의 제품이 도착한 것을 알게 되었습니다. 이에 판매자는 청약철회 기간인 7일이 지났다면서 이를 거부하는데 청약철회가 불가능한가요?,"표시·광고 내용과 다른 제품을 수령한 경우 소비자는 사업자에게 30일 이내에 청약철회를 요구할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등)에 따르면 재화 등을 공급받거나 재화 등의 공급이 시작된 날부터 7일 이내에 청약철회를 할 수 있다고 규정하고 있습니다. 다만, 재화 등의 내용이 표시·광고의 내용과 다르거나 계약 내용과 다르게 이행된 경우 그 재화 등을 공급받은 날부터 3개월 이내, 그 사실을 안 날 또는 알 수 있었던 날부터 30일 이내에 청약철회 권리를 행사할 수 있다고 규정하고 있습니다.따라서, 표시·광고 내용과 다른 제품을 수령한 경우 소비자는 사업자에게 30일 이내에 청약철회를 요구할 수 있다고 판단됩니다."
570, 스마트폰, 계약불이행_미환급,전자상거래로 스마트폰을 주문하고 대금을 신용카드로 결제하였습니다. 제품을 수령하기 전 마음이 바뀌어 청약철회를 요청했음에도 결제취소가 되지 않고 있습니다. 결제취소를 요청할 수 있는 방법이 있나요?,판매자에게 청약철회를 요청했음에도 결제취소가 되지 않고 있다면 신용카드사에 재화 등의 대금 청구를 정지하거나 취소하도록 요청할 수 있습니다.「전자상거래 등에서의 소비자보호에 관한 법률」 제18조(청약철회등의 효과) 제3항에 따르면 신용카드로 재화 등의 대금을 지급한 경우에는 지체 없이 신용카드사에게 재화 등의 대금 청구를 정지하거나 취소하도록 요청하여야 한다‘고 규정하고 있습니다.
571, 스마트폰, 가격·요금_차액보상,타 매장에서 같은 상품을 더 싸게 파는 것을 알게 됐습니다. 같은 상품에 대해 판매가격이 다른 경우 차액만큼 보상이 가능한가요?,"타 매장과 비교하여 가격의 차이가 있다는 이유로 차액만큼 보상을 요구하기는 어렵습니다.우리나라는 자유시장 경제질서를 기본으로 1999년 9월부터 ‘판매가격표시제’를 실시하여 제조업자의 표시가격에 구애받지 않고 최종 판매업자가 판매가격을 자율적으로 결정하여 표시한 후 판매하고 있으며 흔히 오픈 프라이스 제도라고 합니다.정부가 관리하는 전기요금, 난방요금 또는 대중교통 요금 등을 제외하고, 일반적으로 가격은 계약 당시 양 당사자(소비자와 판매자)의 거래 합의에 의한 계약조건이므로 타 매장과의 가격 차이를 이유로 계약해제나 피해보상을 요구하기 어렵습니다.따라서, 타 매장과 비교하여 차이가 있다고 하더라도 부당행위로 보기 어려워 차액만큼 보상을 요구하기 어렵다고 판단됩니다."
572, 스마트폰, 가격·요금_반품비 추가 요구,전자상거래로 병행수입 스마트폰을 구입하고 반품을 요구하였으나 사전에 고지된 반품 배송비 이외에 ‘반품비’라는 명목으로 추가 대금 지급을 요구합니다. 제가 비용을 지급해야 하나요?,"사전에 고지되지 않은 ‘반품비’ 명목의 추가 대금 지급 없이 반품과정에서 발생한 비용을 공제한 금액의 환급을 요구할 수 있습니다.병행수입을 비롯한 수입 제품 판매 시 발생하는 배송비는 사업자마다 수입절차 및 재고관리 방식에 따라 다를 수 있으나 「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제13조(신원 및 거래 조건에 대한 정보의 제공)에 따르면 ‘재화 등의 교환?반품?보증과 그 대금 환불 및 환불의 지연에 따른 배상금 지급의 조건?절차‘를 적절한 방법으로 표시?광고하거나 고지하여야 한다고 규정하고 있습니다.따라서, 반품 비용은 소비자의 구매 여부 판단에 영향을 주는 중요한 거래 조건으로 ’적절한 방법으로 고지’하여야 할 사항으로 볼 수 있어 사업자가 수입 과정에서 발생한 ‘현지 및 국제운송료 + 수입세금 및 제비용’에 관해 입증할 경우 소비자는 그에 대한 금액을 지급해야 하며, 입증할 수 없는 경우 제품을 반품한 뒤 반품과정에서 발생한 비용을 공제한 후 환급을 요구할 수 있다고 판단됩니다.반면, ‘전자상거래법’ 제18조(청약철회등의 효과)에 따르면 ‘사업자는 소비자에게 청약철회를 이유로 위약금이나 손해배상을 청구할 수 없다’고 규정하고 있으므로 미리 고지한 반품 배송비 이외에 다른 명목의 위약금을 추가 청구하는 것은 인정되기 어렵습니다."
